long	lat	ident	comment
-71.8728249034898	41.5112092875468	A	Billings Lake
-71.8717402009626	41.5090135904447	B	Billings Lake
-71.8728995089222	41.5064105468095	C	Billings Lake
-71.8752950001567	41.5041966839144	D	Billings Lake
-71.877857401553	41.502528234998	E	Billings Lake
-71.8774721385844	41.5055134142768	F	Billings Lake
-71.8787282763526	41.5062239466607	G	Billings Lake
-71.8776510150811	41.5090881684651	H	Billings Lake
-71.8766344884149	41.5099368317755	I	Billings Lake
-71.8754128411167	41.511913174266	J	Billings Lake
