long	lat	ident	comment
-72.2928753216248	41.8624260135846	A	Halls Pond
-72.2948374116727	41.8609068197173	B	Halls Pond
-72.296392054018	41.8591497535261	C	Halls Pond
-72.2975520148562	41.8572343923967	D	Halls Pond
-72.2982256020934	41.8553576970297	E	Halls Pond
-72.2993925669037	41.8570622002362	F	Halls Pond
-72.297915548225	41.8588104056219	G	Halls Pond
-72.2960979481115	41.8604219365632	H	Halls Pond
-72.2941506967964	41.8619511216784	I	Halls Pond
-72.291970388281	41.8632755302487	J	Halls Pond
