long	lat	ident	comment
-72.1927396537972	41.9408918256259	A	Lake Chaffee
-72.1926395048201	41.9388083550091	B	Lake Chaffee
-72.1930768424899	41.937153046958	C	Lake Chaffee
-72.1952751214099	41.9358627090769	D	Lake Chaffee
-72.195804180083	41.9373634292341	E	Lake Chaffee
-72.1969484778379	41.9353380250876	F	Lake Chaffee
-72.1984231213116	41.936383769695	G	Lake Chaffee
-72.198960987912	41.9385935269697	H	Lake Chaffee
-72.1973503549447	41.9394693020093	I	Lake Chaffee
-72.1952211046077	41.9404098393339	J	Lake Chaffee
