long	lat	ident	comment
-72.7257862263317	41.9976441924381	A	Whites Pond
-72.7256181058091	41.9964281366944	B	Whites Pond
-72.7259373679749	41.9952262856059	C	Whites Pond
-72.7256325591562	41.9940317288026	D	Whites Pond
-72.7265447606607	41.9930377960026	E	Whites Pond
-72.7271932031644	41.9930686165118	F	Whites Pond
-72.7276206488021	41.9942346390898	G	Whites Pond
-72.7277181433757	41.9954601799234	H	Whites Pond
-72.7271682848725	41.9966166426984	I	Whites Pond
-72.7267304659699	41.9977812686931	J	Whites Pond
