long	lat	ident	comment
-73.4420714542736	41.9611246835262	A	Wononskopomuc Lake
-73.438551482444	41.9579536376058	B	Wononskopomuc Lake
-73.4384271042577	41.9538438277564	C	Wononskopomuc Lake
-73.4394445537233	41.9499732660954	D	Wononskopomuc Lake
-73.4442593751813	41.9500339131064	E	Wononskopomuc Lake
-73.4494400730479	41.9515418365517	F	Wononskopomuc Lake
-73.4543607641613	41.9531466253873	G	Wononskopomuc Lake
-73.4536956190056	41.9571017895547	H	Wononskopomuc Lake
-73.4515068654015	41.9602437836245	I	Wononskopomuc Lake
-73.446892075759	41.9610923497542	J	Wononskopomuc Lake
